Categoria,Valor
Outros Serviços de Terceiros - Pessoa Jurídica,38036920.53000001
Vencimentos e Vantagens Fixas – Pessoal Civil,28966707.350000016
Obrigações Patronais,8666451.780000003
Material de Consumo,6170683.239999993
Obras e Instalações,5424734.08
Locação de Mão-de-Obra,3572652.759999999
Contratação por Tempo Determinado,3230042.6600000006
Equipamentos e Material Permanente,2460635.34
Serviços de Consultoria,2290762.0
Obrigações Tributárias e Contributivas,1878752.9699999997
"Material, Bem ou Serviço para Distribuição Gratuita",1127853.82
Sentenças Judiciais,1111810.7999999993
Outros Serviços de Terceiros – Pessoa Física,1034620.4100000011
Subvenções Sociais,678249.6399999999
Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica,541957.44
Indenizações e Restituições,274068.23
Principal da Dívida Contratual Resgatado,171341.91999999998
Contribuições,51575.0
Indenizações e Restituições Trabalhistas,32943.62
Diárias – Civil,26995.0
Despesas de Exercícios Anteriores,26957.260000000002
Aquisição de Imóveis,22113.84
Outros Auxílios Financeiros a Pessoas Físicas,18300.0
"Premiações Culturais, Artísticas, Científicas, Desportivas e Outras",1527.5
