Categoria,Valor
Emissão de empenho,145485321.01999965
Fixação de Despesa,131932418.60999997
Liquidação de empenho,97400606.19999987
Pagamento de empenho,85887337.6999999
Suplementação de despesa,61937994.639999986
Bloqueio de despesa,32599457.65
Desbloqueio de despesa,30127379.86
Redução de despesa,21366483.64
Retenção de empenho,11085790.29000002
Anulação de empenho,8448614.829999998
Pagamento de restos a pagar,3585451.3600000003
Inscrição de restos a pagar,3424044.889999999
Liquidação de restos a pagar,2642364.0500000007
Inscrição de restos a pagar Processados,1067983.9300000002
Empenho em liquidação,323048.88
Retenção de restos a pagar,36499.079999999994
Estorno de liquidação de empenho,24874.96
Estorno de pagamento de empenho,3933.43
